outcome,model,term,or,or_lo,or_hi,p,cl_or,cl_p,p_holm
approved,Qwen/Qwen2.5-14B-Instruct,cond[confident],1.2899811512251693,0.8904233759550748,1.8688316316171945,0.1782000443789168,2.59870706750969,0.05924461159844164,0.7128001775156672
approved,Qwen/Qwen2.5-14B-Instruct,cond[confident_extra_neutral],1.327797202797202,0.801266775266806,2.2003226218496517,0.2712452936512839,2.853143013466363,0.03734048323772426,0.7128001775156672
approved,Qwen/Qwen2.5-14B-Instruct,cond[unsupported_claims],2.9267822736030755,1.4536907336343674,5.892625081031659,0.0026319562253836366,36.7588576361305,1.1417680651622137e-11,0.021430275361140283
approved,Qwen/Qwen2.5-32B-Instruct,cond[confident],1.5968169761273212,1.1741064664697043,2.171714855566035,0.0028543741394850206,15.865685826658568,5.658694383657419e-07,0.021430275361140283
approved,Qwen/Qwen2.5-32B-Instruct,cond[confident_extra_neutral],0.9999999999999997,0.8722701357430424,1.1464338385816113,0.9999999999999959,1.0012996954091222,0.9980852753485705,0.9999999999999959
approved,Qwen/Qwen2.5-32B-Instruct,cond[unsupported_claims],3.045177045177046,1.8715885582638572,4.954669761966924,7.336094464267062e-06,566.8212368839072,4.5202268756311483e-17,0.00011737751142827299
approved,Qwen/Qwen2.5-3B-Instruct,cond[confident],2.1401326699834167,1.4132330524707295,3.240914750134752,0.0003262207400086445,18.810091921998904,2.671800204209114e-10,0.0042408696201123785
approved,Qwen/Qwen2.5-3B-Instruct,cond[confident_extra_neutral],3.0461309523809526,1.8928226620198636,4.902156955977904,4.467697974300158e-06,90.57318846303212,1.9425960601187035e-16,7.595086556310268e-05
approved,Qwen/Qwen2.5-3B-Instruct,cond[unsupported_claims],5.768518518518521,3.2707398625036666,10.173785533961524,1.418553687663169e-09,1236.1686982964954,2.5376293717566053e-26,2.5533966377937043e-08
approved,Qwen/Qwen2.5-7B-Instruct,cond[confident],1.8974358974358985,1.3341649779344347,2.698514085156343,0.0003647300221092225,47.527456172950615,8.287175391965986e-07,0.00437676026531067
approved,Qwen/Qwen2.5-7B-Instruct,cond[confident_extra_neutral],3.398373983739841,1.9292918938463552,5.9861059750451275,2.2855490113952627e-05,849.109822321965,2.824973243174079e-13,0.0003428323517092894
approved,Qwen/Qwen2.5-7B-Instruct,cond[unsupported_claims],2.6013071895424855,1.6275646264525827,4.157622366808406,6.447292664227572e-05,233.25050330952268,2.7663386539052697e-10,0.0009026209729918601
approved,google/gemma-2-9b-it,cond[confident],1.3475935828876995,1.001487904813021,1.8133104313218422,0.048863455061705176,2.343771521470326,0.02145405437193468,0.24431727530852587
approved,google/gemma-2-9b-it,cond[confident_extra_neutral],2.0026737967914423,1.2485160047067958,3.2123755892876464,0.00396921118340826,9.13605931633205,2.138984166469033e-06,0.02381526710044956
approved,google/gemma-2-9b-it,cond[unsupported_claims],2.380024150422631,1.4160565792468076,4.000203833386296,0.0010637586986663844,19.31664518179587,5.19668991537468e-08,0.010637586986663845
approved,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[confident],1.2801434334379211,0.8873671023397833,1.8467748081410458,0.1865455849083537,1.734787528610161,0.10022964733642103,0.7128001775156672
approved,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[confident_extra_neutral],3.3195876288659707,1.5307792662831472,7.198726993785724,0.002381141706793365,15.289248032389027,1.560285156960246e-08,0.021430275361140283
approved,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[unsupported_claims],3.9563371740448687,1.8445703700287805,8.485772128327701,0.000411604787770151,26.338078670685636,5.4107818041403355e-09,0.004527652665471661
