patch_id,model,condition,p_yes,p_no,p_yes_renorm,coverage,top_token
patch_001,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9997515678405762,0.0002482752315700054,0.9997517247294687,0.9999998430721462,yes
patch_001,meta-llama/Llama-3.3-70B-Instruct,confident,0.9994115233421326,0.0005883100093342364,0.9994116898926247,0.9999998333514668,yes
patch_001,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9963411092758179,0.0036586755886673927,0.9963413236242213,0.9999997848644853,yes
patch_001,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9996336698532104,0.0003661534865386784,0.9996338464487765,0.9999998233397491,yes
patch_002,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999971985816956,2.694273007364245e-06,0.999997305726704,0.9999998928547029,yes
patch_002,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999951124191284,4.665265350922709e-06,0.9999953347336119,0.9999997776844793,yes
patch_002,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9999919533729553,7.793857548676897e-06,0.9999922061404812,0.999999747230504,yes
patch_002,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9995484948158264,0.000451130501460284,0.9995488693295088,0.9999996253172867,yes
patch_003,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9992884397506714,0.0007115807384252548,0.9992884192761544,1.0000000204890966,yes
patch_003,meta-llama/Llama-3.3-70B-Instruct,confident,0.9241483807563782,0.0758514329791069,0.9241485528924601,0.9999998137354851,yes
patch_003,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9875631332397461,0.01243684533983469,0.9875631543937629,0.9999999785795808,yes
patch_003,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.5001627206802368,0.49983707070350647,0.5001628250223331,0.9999997913837433,no
patch_004,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999924302101135,7.63193384045735e-06,0.9999923680666338,1.000000062143954,yes
patch_004,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999769926071167,2.289413896505721e-05,0.9999771058584421,0.9999998867460818,yes
patch_004,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9999935626983643,6.435088380385423e-06,0.9999935649116054,0.9999999977867446,yes
patch_004,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9999504685401917,4.948811329086311e-05,0.999950511884564,0.9999999566534825,yes
patch_005,meta-llama/Llama-3.3-70B-Instruct,hedged,0.999976396560669,2.356556069571525e-05,0.9999764344384117,0.9999999621213647,yes
patch_005,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999617338180542,3.8032820157241076e-05,0.9999619671709673,0.9999997666382114,yes
patch_005,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9999743103981018,2.5567020202288404e-05,0.9999744329766637,0.9999998774183041,yes
patch_005,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9967973232269287,0.003202335210517049,0.9967976636956848,0.9999996584374458,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9998396635055542,0.000160330455400981,0.9998396695436308,0.9999999939609552,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,confident,0.9998584985733032,0.00014150426432024688,0.9998584957360813,1.0000000028376235,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9996615648269653,0.0003384252777323127,0.9996615747189189,0.9999999901046976,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9967975616455078,0.003202377585694194,0.9967976222197011,0.999999939231202,yes
patch_007,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999999403953552,4.439473233475155e-09,0.9999999955605265,0.9999999448348285,yes
patch_007,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999999403953552,8.20288192926455e-09,0.9999999917971176,0.9999999485982372,yes
patch_007,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9999999403953552,9.292315361619785e-09,0.9999999907076842,0.9999999496876706,yes
patch_007,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9999998807907104,3.7540310415806744e-08,0.9999999624596865,0.9999999183310209,yes
patch_008,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999405145645142,5.953187428531237e-05,0.9999404681284793,1.0000000464387995,yes
patch_008,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999402761459351,5.9654743381543085e-05,0.9999403452524956,0.9999999308893166,yes
patch_008,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9997667670249939,0.00023321602202486247,0.9997667839740214,0.9999999830470188,yes
patch_008,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9242919683456421,0.07570789754390717,0.9242920923028712,0.9999998658895493,yes
patch_009,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999901652336121,9.64419450610876e-06,0.999990355803656,0.9999998094281182,yes
patch_009,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999905228614807,9.187854629999492e-06,0.9999908121427121,0.9999997107161107,yes
patch_009,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9999973177909851,2.534585746616358e-06,0.9999974654138792,0.9999998523767317,yes
patch_009,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9999591112136841,4.075380275025964e-05,0.9999592461917487,0.9999998650164343,yes
patch_010,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999591708183289,4.06692925025709e-05,0.9999593307009949,0.9999998401108314,yes
patch_010,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999717473983765,2.8232112526893616e-05,0.9999717678868947,0.9999999795109034,yes
patch_010,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.999890148639679,0.0001098509383155033,0.9998901490616381,0.9999999995779945,yes
patch_010,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9953807592391968,0.004619205370545387,0.9953807944659797,0.9999999646097422,yes
