patch_id,model,condition,p_yes,p_no,p_yes_renorm,coverage,top_token
patch_002,Qwen/Qwen2.5-7B-Instruct,hedged,0.00017962962738238275,0.9998201131820679,0.00017962967358143726,0.9999997428094503,no
patch_002,Qwen/Qwen2.5-7B-Instruct,confident,0.00017968031170312315,0.9998200535774231,0.00017968035951802062,0.9999997338891262,no
patch_002,Qwen/Qwen2.5-7B-Instruct,confident_extra_neutral,5.833722752868198e-05,0.9999412894248962,5.8337249308752544e-05,0.9999996266524249,no
patch_002,Qwen/Qwen2.5-7B-Instruct,unsupported_claims,4.545066622085869e-05,0.9999542832374573,4.545067831511702e-05,0.9999997339036781,no
patch_003,Qwen/Qwen2.5-7B-Instruct,hedged,1.5537900708295638e-06,0.9999980926513672,1.553790620185541e-06,0.999999646441438,no
patch_003,Qwen/Qwen2.5-7B-Instruct,confident,4.4519072162074735e-07,0.9999991059303284,4.4519092145758073e-07,0.99999955112105,no
patch_003,Qwen/Qwen2.5-7B-Instruct,confident_extra_neutral,2.7008715619558643e-07,0.9999992847442627,2.7008727642995607e-07,0.9999995548314189,no
patch_003,Qwen/Qwen2.5-7B-Instruct,unsupported_claims,2.1034632879946003e-07,0.9999993443489075,2.10346422467724e-07,0.9999995546952363,no
patch_004,Qwen/Qwen2.5-7B-Instruct,hedged,9.611128189135343e-05,0.999903678894043,9.611130205781759e-05,0.9999997901759343,no
patch_004,Qwen/Qwen2.5-7B-Instruct,confident,5.82967622904107e-05,0.9999415874481201,5.8296769040569655e-05,0.9999998842104105,no
patch_004,Qwen/Qwen2.5-7B-Instruct,confident_extra_neutral,6.145623501652153e-06,0.9999935626983643,6.1456252941966715e-06,0.9999997083218659,no
patch_004,Qwen/Qwen2.5-7B-Instruct,unsupported_claims,8.31721422400733e-07,0.999998927116394,8.317216229805357e-07,0.9999997588378164,no
patch_005,Qwen/Qwen2.5-7B-Instruct,hedged,0.6225337386131287,0.37746521830558777,0.6225343879670971,0.9999989569187164,yes
patch_005,Qwen/Qwen2.5-7B-Instruct,confident,0.6225215196609497,0.3774774372577667,0.6225221690021728,0.9999989569187164,yes
patch_005,Qwen/Qwen2.5-7B-Instruct,confident_extra_neutral,0.3208545744419098,0.6791442632675171,0.32085494736859044,0.9999988377094269,no
patch_005,Qwen/Qwen2.5-7B-Instruct,unsupported_claims,0.4379153847694397,0.5620833039283752,0.4379159590095936,0.9999986886978149,no
patch_006,Qwen/Qwen2.5-7B-Instruct,hedged,0.00857988279312849,0.991419792175293,0.008579885581862245,0.9999996749684215,no
