patch_id,model,condition,p_yes,p_no,p_yes_renorm,coverage,top_token
patch_002,Qwen/Qwen2.5-72B-Instruct,hedged,3.548504537320696e-05,0.9999638795852661,3.548506791933188e-05,0.9999993646306393,no
patch_002,Qwen/Qwen2.5-72B-Instruct,confident,2.7624111680779606e-05,0.999971866607666,2.7624125749212413e-05,0.9999994907193468,no
patch_002,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,2.154455432901159e-05,0.9999778270721436,2.1544567867047696e-05,0.9999993716264726,no
patch_002,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,8.986224202089943e-06,0.999990701675415,8.986227006694833e-06,0.9999996878996171,no
patch_003,Qwen/Qwen2.5-72B-Instruct,hedged,9.982417026321855e-08,0.9999998807907104,9.982417219832203e-08,0.9999999806148807,no
patch_003,Qwen/Qwen2.5-72B-Instruct,confident,3.238949020101245e-08,1.0,3.2389489151933405e-08,1.0000000323894902,no
patch_003,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,9.298854131145617e-09,1.0,9.29885404467693e-09,1.0000000092988541,no
patch_003,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,6.4102954056011185e-09,1.0,6.410295364509232e-09,1.0000000064102954,no
patch_004,Qwen/Qwen2.5-72B-Instruct,hedged,4.4713146962749306e-07,0.9999995231628418,4.4713148290984164e-07,0.9999999702943114,no
patch_004,Qwen/Qwen2.5-72B-Instruct,confident,1.8650196409453201e-07,0.9999997615814209,1.8650197377708319e-07,0.999999948083385,no
patch_004,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,5.343480324881966e-08,0.9999999403953552,5.343480357850393e-08,0.9999999938301585,no
patch_004,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,5.337350472700564e-08,0.9999998807907104,5.3373508240892445e-08,0.9999999341642152,no
patch_005,Qwen/Qwen2.5-72B-Instruct,hedged,9.429220995116339e-07,0.9999991059303284,9.429220534476022e-07,1.0000000488524279,no
patch_005,Qwen/Qwen2.5-72B-Instruct,confident,5.719643354495929e-07,0.9999994039535522,5.719643492237026e-07,0.9999999759178877,no
patch_005,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,3.931933463263704e-07,0.9999995827674866,3.9319335577841114e-07,0.9999999759608329,no
patch_005,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,1.6386964318826358e-07,0.9999997615814209,1.6386965540457202e-07,0.9999999254510641,no
patch_006,Qwen/Qwen2.5-72B-Instruct,hedged,0.008608284406363964,0.99137282371521,0.008608447036098808,0.9999811081215739,no
patch_006,Qwen/Qwen2.5-72B-Instruct,confident,0.004625026136636734,0.9953613877296448,0.004625088973713991,0.9999864138662815,no
patch_006,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.003610872896388173,0.9963757395744324,0.0036109212377016075,0.9999866124708205,no
patch_006,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.0019353855168446898,0.9980557560920715,0.0019354026613983691,0.9999911416089162,no
patch_007,Qwen/Qwen2.5-72B-Instruct,hedged,0.002195854438468814,0.9977939128875732,0.002195876908161267,0.9999897673260421,no
patch_007,Qwen/Qwen2.5-72B-Instruct,confident,0.0021981741301715374,0.997791051864624,0.002198197813566221,0.9999892259947956,no
patch_007,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.0022051213309168816,0.9977820515632629,0.002205149616604363,0.9999871728941798,no
patch_007,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.00038396328454837203,0.9996122717857361,0.0003839647301485943,0.9999962350702845,no
patch_008,Qwen/Qwen2.5-72B-Instruct,hedged,1.8958624423248693e-05,0.9999808073043823,1.8958628860917594e-05,0.9999997659288056,no
patch_008,Qwen/Qwen2.5-72B-Instruct,confident,8.953415090218186e-06,0.9999909400939941,8.953416043675658e-06,0.9999998935090844,no
patch_008,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,1.8967393771163188e-05,0.9999807476997375,1.8967399175098337e-05,0.9999997150935087,no
