model,condition,hit_rate,fa_rate,d_prime,criterion
Qwen/Qwen2.5-14B-Instruct,hedged,0.8944,0.8665,0.1402,-1.1803
Qwen/Qwen2.5-14B-Instruct,confident,0.8705,0.8347,0.1561,-1.0508
Qwen/Qwen2.5-14B-Instruct,confident_extra_neutral,0.8625,0.8307,0.135,-1.0243
Qwen/Qwen2.5-14B-Instruct,unsupported_claims,0.8068,0.6912,0.3667,-0.6827
Qwen/Qwen2.5-32B-Instruct,hedged,0.8745,0.6873,0.6599,-0.818
Qwen/Qwen2.5-32B-Instruct,confident,0.8267,0.5797,0.7401,-0.5711
Qwen/Qwen2.5-32B-Instruct,confident_extra_neutral,0.8386,0.6873,0.5008,-0.7385
Qwen/Qwen2.5-32B-Instruct,unsupported_claims,0.7351,0.4203,0.8293,-0.2136
Qwen/Qwen2.5-3B-Instruct,hedged,0.6992,0.7112,-0.0347,-0.5394
Qwen/Qwen2.5-3B-Instruct,confident,0.5558,0.5359,0.0503,-0.1151
Qwen/Qwen2.5-3B-Instruct,confident_extra_neutral,0.4602,0.4482,0.0302,0.1151
Qwen/Qwen2.5-3B-Instruct,unsupported_claims,0.2689,0.3008,-0.094,0.5691
Qwen/Qwen2.5-7B-Instruct,hedged,0.5677,0.4004,0.4229,0.0409
Qwen/Qwen2.5-7B-Instruct,confident,0.4681,0.261,0.5604,0.3602
Qwen/Qwen2.5-7B-Instruct,confident_extra_neutral,0.3247,0.1653,0.5182,0.7137
Qwen/Qwen2.5-7B-Instruct,unsupported_claims,0.3048,0.2052,0.3126,0.667
google/gemma-2-9b-it,hedged,0.3685,0.253,0.3294,0.5004
google/gemma-2-9b-it,confident,0.2809,0.2012,0.2571,0.7088
google/gemma-2-9b-it,confident_extra_neutral,0.2171,0.1454,0.2744,0.9191
google/gemma-2-9b-it,unsupported_claims,0.1653,0.1255,0.1752,1.0603
meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.3486,0.2251,0.366,0.5721
meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.2251,0.1853,0.1404,0.8253
meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.1414,0.0817,0.32,1.2339
meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.1454,0.0697,0.4216,1.2671
